"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Residential property values",34100013,026-0018,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410001301",1,"CURRENT - a cube available to the public and that is current",Annual,2005-01-01,2015-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Type of property",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,11124,1,,,,
1,"Newfoundland and Labrador",10,2,1,,,
1,"Prince Edward Island",11,3,1,,,
1,"Nova Scotia",12,4,1,,,
1,"New Brunswick",13,5,1,,,
1,Quebec,24,6,1,,,
1,Ontario,35,7,1,,,
1,Manitoba,46,8,1,,,
1,Saskatchewan,47,9,1,,,
1,Alberta,48,10,1,,,
1,"British Columbia",59,11,1,,,
1,Yukon,60,12,1,,,
1,"Northwest Territories",61,13,1,,,
1,Nunavut,62,14,1,,,
1,"Total census metropolitan areas",,15,,,,
1,"St. John's, Newfoundland and Labrador",001,16,15,,,
1,"Halifax, Nova Scotia",205,17,15,,,
1,"Saint John, New Brunswick",310,18,15,,3,
1,"Moncton, New Brunswick",305,19,15,,3,
1,"Montréal, Quebec",462,20,15,,3,
1,"Québec, Quebec",421,21,15,,2;3,
1,"Saguenay, Quebec",408,22,15,,2;3,
1,"Sherbrooke, Quebec",433,23,15,,2,
1,"Trois-Rivières, Quebec",442,24,15,,2,
1,"Barrie, Ontario",568,25,15,,,
1,"Brantford, Ontario",543,26,15,,,
1,"Greater Sudbury, Ontario",580,27,15,,3,
1,"Guelph, Ontario",550,28,15,,2,
1,"Hamilton, Ontario",537,29,15,,,
1,"Kingston, Ontario",521,30,15,,,
1,"Kitchener-Cambridge-Waterloo, Ontario",541,31,15,,3,
1,"London, Ontario",555,32,15,,,
1,"Oshawa, Ontario",532,33,15,,,
1,"Ottawa-Gatineau, Ontario/Quebec",505,34,15,,2;3,
1,"Ottawa part",35505,35,34,,3,
1,"Gatineau part",24505,36,34,,2;3,
1,"Peterborough, Ontario",529,37,15,,,
1,"St. Catharines-Niagara, Ontario",539,38,15,,,
1,"Thunder Bay, Ontario",595,39,15,,,
1,"Toronto, Ontario",535,40,15,,,
1,"Windsor, Ontario",559,41,15,,,
1,"Winnipeg, Manitoba",602,42,15,,,
1,"Regina, Saskatchewan",705,43,15,,3,
1,"Saskatoon, Saskatchewan",725,44,15,,3,
1,"Calgary, Alberta",825,45,15,,,
1,"Edmonton, Alberta",835,46,15,,,
1,"Kelowna, British Columbia",915,47,15,,2,
1,"Abbotsford-Mission, British Columbia",932,48,15,,2,
1,"Vancouver, British Columbia",933,49,15,,,
1,"Victoria, British Columbia",935,50,15,,,
2,Residential,,1,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
5213,"Residential Property Values"

"Subject Code","Subject Name"
34,Construction

"Note ID",Note
1,"The methodology used in the current release differs from that used in the release on ""Residential and non-residential property assessment values"" (published in The Daily on November 27, 2015), to meet Finance Canada's data requirements for fiscal arrangements. For the purposes of fiscal arrangements, values represent taxable property values, expressed according to their taxation year, which corresponds to the year following the value's reference year."
2,"Changes occurred in census metropolitan area geographical boundaries for reference year 2011."
3,"Changes occurred in census metropolitan area geographical boundaries for reference year 2015."

"Correction ID","Correction Date","Correction Note"

